
############## annie - 02/07/21 15:25:46 EST -0500 ##############

2021-02-07 15:25:47 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2021-02-07 19:32:01 64 bytes from 8.8.8.8: icmp_seq=247 ttl=117 time=39.8 ms
2021-02-07 19:33:01 64 bytes from 8.8.8.8: icmp_seq=248 ttl=117 time=35.3 ms
2021-02-07 19:34:01 64 bytes from 8.8.8.8: icmp_seq=249 ttl=117 time=39.2 ms
2021-02-07 19:35:01 64 bytes from 8.8.8.8: icmp_seq=250 ttl=117 time=34.4 ms
2021-02-07 19:36:01 64 bytes from 8.8.8.8: icmp_seq=251 ttl=117 time=34.3 ms
2021-02-07 19:37:01 64 bytes from 8.8.8.8: icmp_seq=252 ttl=117 time=30.3 ms
2021-02-07 19:38:01 64 bytes from 8.8.8.8: icmp_seq=253 ttl=117 time=64.0 ms
2021-02-07 19:39:01 64 bytes from 8.8.8.8: icmp_seq=254 ttl=117 time=33.0 ms
2021-02-07 19:40:01 64 bytes from 8.8.8.8: icmp_seq=255 ttl=117 time=38.6 ms
2021-02-07 19:41:01 64 bytes from 8.8.8.8: icmp_seq=256 ttl=117 time=31.9 ms
2021-02-07 19:42:01 64 bytes from 8.8.8.8: icmp_seq=257 ttl=117 time=28.2 ms
2021-02-07 19:44:02 64 bytes from 8.8.8.8: icmp_seq=259 ttl=117 time=33.9 ms
2021-02-07 19:45:02 64 bytes from 8.8.8.8: icmp_seq=260 ttl=117 time=39.9 ms
2021-02-07 19:46:02 64 bytes from 8.8.8.8: icmp_seq=261 ttl=117 time=38.6 ms
2021-02-07 19:47:02 64 bytes from 8.8.8.8: icmp_seq=262 ttl=117 time=40.4 ms
2021-02-07 19:48:02 64 bytes from 8.8.8.8: icmp_seq=263 ttl=117 time=48.9 ms
2021-02-07 19:49:02 64 bytes from 8.8.8.8: icmp_seq=264 ttl=117 time=33.1 ms
2021-02-07 19:50:02 64 bytes from 8.8.8.8: icmp_seq=265 ttl=117 time=34.3 ms
2021-02-07 19:51:02 64 bytes from 8.8.8.8: icmp_seq=266 ttl=117 time=37.3 ms
2021-02-07 19:52:02 64 bytes from 8.8.8.8: icmp_seq=267 ttl=117 time=34.2 ms
